
-150.000000,-150.000000,10448
-151.250000,-151.250000,20584
-153.750000,-153.750000,30708
-156.250000,-156.250000,40764
-158.750000,-158.750000,50852
-161.250000,-161.250000,61012
-163.750000,-163.750000,71108
-166.250000,-166.250000,81128
-168.750000,-168.750000,91124
-171.250000,-171.250000,101160
24.769769,32.405155,111236
23.951911,31.651996,121344
24.816198,32.645675,131464
25.680482,33.639354,141604
26.544769,34.633037,151668
27.409053,35.626720,161680
28.273338,36.620399,171704
29.137626,37.614078,181776
30.001907,38.607761,191816
30.866195,39.601444,201856
-79.462783,-60.289291,211896
-79.568962,-60.179813,221952
-80.645614,-60.954540,232012
-81.722259,-61.729263,242104
-82.798912,-62.503986,252232
-83.875556,-63.278713,262396
-84.952201,-64.053443,272528
-86.028846,-64.828170,282680
-87.105499,-65.602890,292812
-88.182144,-66.377616,302948
-83.548828,-91.812728,313096
-84.560775,-92.781547,323100
-85.508026,-93.944458,333256
-86.455276,-95.107368,343272
-87.402526,-96.270286,353316
-88.349784,-97.433197,363364
-89.297035,-98.596107,373412
-90.244285,-99.759025,383468
-91.191543,-100.921936,393508
-92.138793,-102.084846,403628
-21.694173,-19.643703,413728
-22.037576,-20.094940,423836
-21.777139,-19.834499,433884
-21.516698,-19.574058,443916
-21.256258,-19.313621,454052
-20.995820,-19.053180,464204
-20.735380,-18.792739,474312
-20.474943,-18.532302,484392
-20.214502,-18.271862,494496
-19.954061,-18.011421,504584
-102.484733,-95.237899,514628
-102.935966,-95.646003,524696
-104.098884,-96.722648,534840
-105.261795,-97.799301,545020
-106.424705,-98.875953,555044
-107.587623,-99.952598,565128
-108.750534,-101.029243,575208
-109.913444,-102.105888,585348
-111.076362,-103.182540,595364
-112.239280,-104.259185,605516
-53.731147,-55.759719,615676
-54.376476,-56.405052,625784
-54.504222,-56.619060,635844
-54.631973,-56.833072,645872
-54.759719,-57.047080,655888
-54.887466,-57.261093,666032
-55.015216,-57.475105,676184
-55.142963,-57.689113,686316
-55.270709,-57.903125,696312
-55.398456,-58.117134,706444
-57.044448,-49.840042,716552
-57.193759,-49.989353,726680
-57.364639,-50.073966,736808
-57.535522,-50.158584,746940
-57.706401,-50.243198,757060
-57.877281,-50.327812,767184
-58.048164,-50.412425,777316
-58.219043,-50.497043,787444
-58.389923,-50.581657,797548
-58.560806,-50.666271,807676
-94.406234,-93.889648,817764
-94.879028,-94.340888,827860
-95.653762,-95.158744,837996
-96.428482,-95.976600,847988
-97.203201,-96.794456,857992
-97.977928,-97.612312,868024
-98.752655,-98.430168,878056
-99.527374,-99.248023,888096
-100.302093,-100.065887,898140
-101.076820,-100.883750,908284
-51.548049,-48.981346,918412
-51.891456,-49.346321,928476
-51.803543,-49.258407,938544
-51.715637,-49.170501,948560
-51.627723,-49.082588,958576
-51.539810,-48.994674,968732
-51.451904,-48.906768,978864
-51.363990,-48.818855,988980
-51.276077,-48.730941,999112
-51.188171,-48.643035,1009248
-75.695777,-70.562721,1019388
-75.823516,-70.668907,1029516
-76.166931,-70.969184,1039652
